qps	RTT(us)			CWND		RWND			retrans		fastRetrans	timeout		bytes_acked		bytes_received	sum_sample_rtt	#sample_rtt	packtes_out	duration				inflight_bytes
2	616.708763		10.252577	94733.278351	0.000000	0.000000	0.000000	98682108.860825	60101388.817010	4936.337629		1.000000	1.221649	1832522551940920.000000	1055.625000
8	598.658995		10.069047	99836.993894	0.000000	0.000000	0.000000	27130595.908408	16776661.250352	4792.485674		1.000000	1.288398	1847901916362159.500000	1258.938938
32	17076.961248	10.087498	105412.219534	0.000000	0.000000	0.000000	13882445.921445	8660649.242679	136619.122041	1.000000	1.542346	1116431269958805.250000	1573.184990
128	24313.293766	10.134324	123946.718946	0.000000	0.000000	0.000000	9435804.061725	6688356.314137	194509.760147	1.000000	1.959106	2452618462323036.500000	2005.033389
